"SECONDS";"PID";"VALUE";"UNITS"
"44662.401968";"verbrauchte Kraftstoffmenge (gesamt)";"2.47294569454324";"L"
"44662.586968";"Abs. Drosselklappenstellung";"18.0392156862745";"%"
"44662.586968";"Verbrauchsoptimierung (basierend auf Status des Kraftstoffsystems und Gasstellung)";"1";""
"44662.777968";"Absolutdruck Einlasskanal";"66";"kPa"
"44662.777968";"Berechneter Boost";"-0.35325";"bar"
"44662.779968";"Durchschnittsgeschwindigkeit (GPS)";"1.3500587755179";"km/h"
"44662.779968";"Geschwindigkeit (GPS)";"9.13898992538452";"km/h"
"44662.781968";"Durchschnittsgeschwindigkeit (GPS)";"1.35071623856196";"km/h"
"44662.781968";"Geschwindigkeit (GPS)";"9.13898992538452";"km/h"
"44663.232968";"Kühlmitteltemperatur";"44";"℃"
"44663.443968";"Berechneter momentaner Kraftstoffverbrauch";"45.7909846489602";"L/100km"
"44663.443968";"Durchschnittsgeschwindigkeit";"1.92856417795587";"km/h"
"44663.443968";"Fahrzeugbeschleunigung";"0.660708998735399";"m_sec2"
"44663.443968";"Geschwindigkeit";"13";"km/h"
"44663.443968";"zurückgelegte Strecke";"0.00959978219444444";"km"
"44663.443968";"zurückgelegte Strecke (gesamt)";"38.5917311904723";"km"
"44663.634968";"Berechneter Kraftstoffmengenfluss";"4.14547524103064";"L/h"
"44663.634968";"Durchschnittsverbrauch";"115.443963488085";"L/100km"
"44663.634968";"Durchschnittsverbrauch (gesamt)";"6.41164758653324";"L/100km"
"44663.634968";"Kraftstoffkosten";"0.0147395508384819";"€"
"44663.634968";"Kraftstoffkosten (gesamt)";"3.28";"€"
"44663.634968";"Momentane Motorleistung (basierend auf dem Kraftstoffverbrauch)";"8.77321998855021";"kW"
"44663.634968";"Motordrehzahl";"1350";"rpm"
"44663.634968";"verbrauchte Kraftstoffmenge";"0.0110823690514902";"L"
"44663.634968";"verbrauchte Kraftstoffmenge (gesamt)";"2.47436580147531";"L"
"44663.770968";"Durchschnittsgeschwindigkeit (GPS)";"1.81367251983374";"km/h"
"44663.770968";"Geschwindigkeit (GPS)";"12.0394947052002";"km/h"
"44663.773968";"Durchschnittsgeschwindigkeit (GPS)";"1.81534978274405";"km/h"
"44663.773968";"Geschwindigkeit (GPS)";"12.0394947052002";"km/h"
"44663.868968";"Abs. Drosselklappenstellung";"7.45098039215686";"%"
"44663.868968";"Verbrauchsoptimierung (basierend auf Status des Kraftstoffsystems und Gasstellung)";"1";""
"44664.065968";"Absolutdruck Einlasskanal";"33";"kPa"
"44664.065968";"Berechneter Boost";"-0.68325";"bar"
"44664.451968";"Berechneter momentaner Kraftstoffverbrauch";"34.5456270085887";"L/100km"
"44664.451968";"Durchschnittsgeschwindigkeit";"2.46485707180868";"km/h"
"44664.451968";"Geschwindigkeit";"12";"km/h"
"44664.451968";"zurückgelegte Strecke";"0.0129593435277778";"km"
"44664.451968";"zurückgelegte Strecke (gesamt)";"38.5950907518056";"km"
"44664.591968";"Durchschnittsgeschwindigkeit (GPS)";"2.17719390280005";"km/h"
"44664.591968";"Geschwindigkeit (GPS)";"12.2800549507141";"km/h"
"44664.614968";"Durchschnittsgeschwindigkeit (GPS)";"2.18684114417642";"km/h"
"44664.614968";"Geschwindigkeit (GPS)";"12.2800549507141";"km/h"
"44664.684968";"Berechneter Kraftstoffmengenfluss";"1.58295739759355";"L/h"
"44664.684968";"Durchschnittsverbrauch";"89.0801776596544";"L/100km"
"44664.684968";"Durchschnittsverbrauch (gesamt)";"6.41228609767192";"L/100km"
"44664.684968";"Kraftstoffkosten";"0.0153537942966323";"€"
"44664.684968";"Kraftstoffkosten (gesamt)";"3.28";"€"
"44664.684968";"Momentane Motorleistung (basierend auf dem Kraftstoffverbrauch)";"3.35007029933158";"kW"
"44664.684968";"Motordrehzahl";"1031";"rpm"
"44664.684968";"verbrauchte Kraftstoffmenge";"0.0115442062380694";"L"
"44664.684968";"verbrauchte Kraftstoffmenge (gesamt)";"2.47482763866189";"L"
"44664.875968";"Abs. Drosselklappenstellung";"16.4705882352941";"%"
